token,search_terms,clicks,spend,sales,orders,cvr,acos,cpc,token_type,already_negative,click_share,sales_share,relative_cvr,issue_zero_sales,issue_low_relevancy,issue_high_spend,score,recommendation,reason
no,10,10,22.5,0.0,0,0.0,0.0,2.25,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
smell,9,10,20.880000000000003,0.0,0,0.0,0.0,2.088,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
coat,9,10,20.490000000000002,0.0,0,0.0,0.0,2.0490000000000004,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
loss,8,9,20.2,0.0,0,0.0,0.0,2.2444444444444445,single_word,False,0.003739094308267553,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
free,8,9,18.96,0.0,0,0.0,0.0,2.106666666666667,single_word,False,0.003739094308267553,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
irritated,5,8,16.13,0.0,0,0.0,0.0,2.01625,single_word,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
pitbulls,4,7,16.86,0.0,0,0.0,0.0,2.4085714285714284,single_word,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
spots,7,7,15.81,0.0,0,0.0,0.0,2.2585714285714285,single_word,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
ph,4,6,13.63,0.0,0,0.0,0.0,2.271666666666667,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
espree,3,6,13.25,0.0,0,0.0,0.0,2.2083333333333335,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
rinse,6,6,11.579999999999998,0.0,0,0.0,0.0,1.9299999999999997,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
animal,5,5,12.29,0.0,0,0.0,0.0,2.4579999999999997,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
irritation,4,5,11.600000000000001,0.0,0,0.0,0.0,2.3200000000000003,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
pramoxine,4,5,11.41,0.0,0,0.0,0.0,2.282,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
help,5,5,11.28,0.0,0,0.0,0.0,2.256,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
grooming,4,5,10.93,0.0,0,0.0,0.0,2.186,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
davis,3,5,10.65,0.0,0,0.0,0.0,2.13,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
champu,5,5,10.23,0.0,0,0.0,0.0,2.0460000000000003,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
clean,4,5,8.7,0.0,0,0.0,0.0,1.7399999999999998,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
douxos3,1,5,8.29,0.0,0,0.0,0.0,1.658,single_word,False,0.002077274615704196,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
water,4,4,9.780000000000001,0.0,0,0.0,0.0,2.4450000000000003,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
great,2,4,9.64,0.0,0,0.0,0.0,2.41,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
double,4,4,9.55,0.0,0,0.0,0.0,2.3875,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
poodle,4,4,9.5,0.0,0,0.0,0.0,2.375,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
tar,3,4,8.63,0.0,0,0.0,0.0,2.1575,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
milk,3,4,8.3,0.0,0,0.0,0.0,2.075,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
groomer,4,4,8.209999999999999,0.0,0,0.0,0.0,2.0524999999999998,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
shin,1,4,8.12,0.0,0,0.0,0.0,2.03,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
antiseborrheic,2,4,7.7,0.0,0,0.0,0.0,1.925,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
antiparasitic,2,4,7.58,0.0,0,0.0,0.0,1.895,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
dispenser,1,4,7.56,0.0,0,0.0,0.0,1.89,single_word,False,0.0016618196925633569,0.0,0.0,False,False,True,9.0,Monitor,high spend without sales
