token,search_terms,clicks,spend,sales,orders,cvr,acos,cpc,token_type,already_negative,click_share,sales_share,relative_cvr,issue_zero_sales,issue_low_relevancy,issue_high_spend,score,recommendation,reason
dog skin,11,14,32.84,0.0,0,0.0,0.0,2.345714285714286,word_pair,False,0.005816368923971749,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
hair loss,7,8,18.28,0.0,0,0.0,0.0,2.285,word_pair,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antibacterial shampoo,4,8,15.91,0.0,0,0.0,0.0,1.98875,word_pair,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
hot spots,7,7,15.81,0.0,0,0.0,0.0,2.2585714285714285,word_pair,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
irritated skin,4,7,13.92,0.0,0,0.0,0.0,1.9885714285714287,word_pair,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo pitbulls,3,6,14.600000000000001,0.0,0,0.0,0.0,2.4333333333333336,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
treatment dogs,5,6,13.18,0.0,0,0.0,0.0,2.1966666666666668,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antiseptic antifungal,6,6,12.64,0.0,0,0.0,0.0,2.106666666666667,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dog hair,6,6,12.59,0.0,0,0.0,0.0,2.098333333333333,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antiseptic dog,3,6,12.229999999999999,0.0,0,0.0,0.0,2.038333333333333,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
pitbull shampoo,3,5,11.73,0.0,0,0.0,0.0,2.346,word_pair,True,0.002077274615704196,0.0,0.0,True,True,True,16.0,Already negative,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
skin irritation,4,5,11.600000000000001,0.0,0,0.0,0.0,2.3200000000000003,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo help,5,5,11.28,0.0,0,0.0,0.0,2.256,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
infection treatment,4,5,10.72,0.0,0,0.0,0.0,2.144,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dander shampoo,3,5,10.61,0.0,0,0.0,0.0,2.122,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
free dog,4,5,9.969999999999999,0.0,0,0.0,0.0,1.9939999999999998,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
douxos3 dog,1,5,8.29,0.0,0,0.0,0.0,1.658,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
skin allergy,2,4,9.31,0.0,0,0.0,0.0,2.3275,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
espree dog,1,4,8.75,0.0,0,0.0,0.0,2.1875,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
no rinse,4,4,8.719999999999999,0.0,0,0.0,0.0,2.1799999999999997,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
